iter	Accuracy	MultiClass
0	0.5015625	1.094027695
1	0.5171875	1.089705262
2	0.546875	1.084904812
3	0.55625	1.080139076
4	0.5609375	1.076213145
5	0.5734375	1.071164166
6	0.58125	1.066853084
7	0.5765625	1.06372518
8	0.5875	1.060434615
9	0.5984375	1.056694751
10	0.6	1.052774432
11	0.60625	1.049377478
12	0.603125	1.046058272
13	0.6140625	1.042136006
14	0.6140625	1.038574867
15	0.6203125	1.036013377
16	0.621875	1.033458601
17	0.6328125	1.030161356
18	0.6265625	1.02714765
19	0.6234375	1.024231431
20	0.63125	1.021703893
21	0.6296875	1.01879377
22	0.6296875	1.015646968
23	0.6265625	1.013220592
24	0.6359375	1.010259627
25	0.6359375	1.007794002
26	0.6328125	1.004702831
27	0.63125	1.002426217
28	0.6484375	0.9995792902
29	0.6546875	0.9968075894
30	0.659375	0.9945791136
31	0.6671875	0.991820276
32	0.659375	0.9890721625
33	0.65625	0.9862957838
34	0.6578125	0.9835765742
35	0.6671875	0.9811379
36	0.6609375	0.9790693458
37	0.6609375	0.9774475875
38	0.665625	0.9747264479
39	0.66875	0.9726636664
40	0.671875	0.9709444464
41	0.6625	0.9691075235
42	0.66875	0.9675041506
43	0.6671875	0.9658165463
44	0.6640625	0.9638510235
45	0.6640625	0.9618328877
46	0.659375	0.9601019339
47	0.6640625	0.9583904872
48	0.6703125	0.9565308351
49	0.671875	0.9552227313
50	0.6734375	0.9527990923
51	0.6765625	0.9503634962
52	0.6796875	0.9478922367
53	0.6828125	0.946456737
54	0.6796875	0.9448078116
55	0.6859375	0.9436217234
56	0.68125	0.9422666988
57	0.684375	0.9409122535
58	0.6828125	0.9392104961
59	0.6875	0.9368975969
60	0.6921875	0.9354170738
61	0.6921875	0.9340577319
62	0.6921875	0.9328553313
63	0.6953125	0.9303850679
64	0.7015625	0.9293312589
65	0.696875	0.9279045447
66	0.7	0.9260694794
67	0.7046875	0.924683407
68	0.7	0.9226508689
69	0.709375	0.9209114414
70	0.70625	0.9195967181
71	0.6984375	0.9181688719
72	0.70625	0.9168454801
73	0.7140625	0.9154260259
74	0.7140625	0.914152557
75	0.71875	0.9132624978
76	0.715625	0.9121436893
77	0.7140625	0.910193417
78	0.71875	0.9082451377
79	0.71875	0.9068288489
80	0.7171875	0.9052516311
81	0.7171875	0.903745876
82	0.71875	0.9013943769
83	0.7203125	0.9001672122
84	0.721875	0.89918901
85	0.7234375	0.8982242377
86	0.7234375	0.8976892311
87	0.725	0.8960576999
88	0.7234375	0.8947576794
89	0.7234375	0.893648066
90	0.7234375	0.8926207447
91	0.725	0.8918430224
92	0.73125	0.8903444418
93	0.73125	0.8901033594
94	0.7265625	0.8890943793
95	0.728125	0.8873465155
96	0.7265625	0.8860322478
97	0.7296875	0.8850179968
98	0.728125	0.8837612726
99	0.7265625	0.8828062078
100	0.728125	0.881439584
101	0.721875	0.8794399488
102	0.7234375	0.8779339421
103	0.725	0.8767310037
104	0.728125	0.8756532724
105	0.728125	0.8748680653
106	0.7265625	0.8733368316
107	0.7328125	0.8723539439
108	0.73125	0.8708023882
109	0.7296875	0.8692166453
110	0.7328125	0.8676926943
111	0.73125	0.8658032249
112	0.73125	0.8640281811
113	0.73125	0.8627194373
114	0.7328125	0.8620247526
115	0.734375	0.8609903927
116	0.734375	0.8595167857
117	0.734375	0.8590231357
118	0.734375	0.8582800805
119	0.734375	0.8572648235
120	0.7296875	0.8559418094
121	0.734375	0.8543375833
122	0.73125	0.8532052935
123	0.7328125	0.8522167851
124	0.734375	0.8511282649
125	0.73125	0.849368632
126	0.73125	0.8486811139
127	0.7328125	0.8477642941
128	0.734375	0.8468749821
129	0.734375	0.8460127886
130	0.7328125	0.8450131146
131	0.7328125	0.8440135905
