iter	Passed	Remaining
0	14	15060
1	28	14857
2	45	15752
3	61	15834
4	76	15793
5	90	15597
6	108	15978
7	123	15901
8	139	16004
9	155	15988
10	175	16395
11	190	16312
12	206	16314
13	223	16362
14	240	16435
15	255	16368
16	271	16353
17	287	16303
18	306	16447
19	324	16524
20	339	16494
21	358	16584
22	379	16758
23	395	16730
24	413	16780
25	439	17127
26	459	17249
27	476	17239
28	496	17297
29	511	17208
30	534	17391
31	557	17555
32	579	17676
33	603	17866
34	621	17832
35	642	17930
36	663	17980
37	682	17994
38	704	18089
39	722	18059
40	740	18038
41	756	17984
42	773	17935
43	789	17873
44	805	17816
45	821	17754
46	839	17730
47	854	17656
48	869	17591
49	887	17568
50	908	17611
51	931	17699
52	950	17698
53	971	17733
54	1002	17946
55	1029	18088
56	1049	18102
57	1066	18063
58	1082	18000
59	1104	18037
60	1125	18058
61	1142	18023
62	1164	18054
63	1182	18036
64	1200	18013
65	1241	18324
66	1265	18373
67	1282	18334
68	1330	18721
69	1345	18647
70	1368	18671
71	1386	18647
72	1401	18564
73	1418	18514
74	1434	18451
75	1450	18402
76	1465	18329
77	1481	18273
78	1501	18266
79	1518	18217
80	1534	18168
81	1556	18189
82	1574	18153
83	1592	18120
84	1609	18083
85	1628	18063
86	1644	18014
87	1661	17972
88	1677	17926
89	1696	17908
90	1712	17859
91	1728	17806
92	1746	17781
93	1763	17744
94	1779	17697
95	1795	17652
96	1812	17621
97	1828	17578
98	1844	17528
99	1860	17488
100	1883	17507
101	1904	17514
102	1924	17504
103	1943	17488
104	1966	17510
105	2002	17641
106	2039	17784
107	2067	17844
108	2087	17833
109	2105	17804
110	2122	17765
111	2139	17726
112	2158	17711
113	2177	17683
114	2193	17639
115	2210	17611
116	2229	17586
117	2246	17555
118	2262	17509
119	2282	17498
120	2298	17458
121	2316	17429
122	2333	17395
123	2351	17374
124	2367	17327
125	2384	17296
126	2401	17263
127	2420	17246
128	2438	17217
129	2453	17177
130	2472	17155
131	2489	17125
132	2509	17110
133	2529	17102
134	2549	17089
135	2566	17059
136	2582	17025
137	2600	16997
138	2620	16985
139	2638	16960
140	2652	16914
141	2672	16898
142	2689	16869
143	2708	16849
144	2723	16811
145	2743	16800
146	2759	16763
147	2776	16735
148	2791	16695
149	2814	16700
150	2834	16688
151	2855	16679
152	2887	16738
153	2913	16760
154	2954	16868
155	2977	16870
156	2996	16851
157	3024	16880
158	3044	16867
159	3062	16841
160	3081	16822
161	3100	16803
162	3117	16775
163	3135	16747
164	3151	16714
165	3167	16679
166	3182	16637
167	3200	16612
168	3218	16588
169	3235	16556
170	3250	16516
171	3266	16486
172	3281	16446
173	3296	16408
174	3311	16368
175	3328	16340
176	3346	16316
177	3363	16290
178	3378	16250
179	3395	16220
180	3412	16193
181	3428	16164
182	3444	16130
183	3461	16103
184	3477	16070
185	3492	16037
186	3508	16006
187	3526	15981
188	3541	15946
189	3557	15914
190	3572	15878
191	3587	15846
192	3606	15827
193	3623	15800
194	3637	15763
195	3653	15732
196	3671	15709
197	3685	15674
198	3702	15646
199	3716	15609
200	3733	15585
201	3750	15558
202	3766	15529
203	3781	15496
204	3798	15470
205	3813	15440
206	3834	15430
207	3849	15398
208	3867	15376
209	3881	15342
210	3897	15312
