iter	Passed	Remaining
0	2	2122
1	3	1946
2	5	1859
3	7	1924
4	9	1924
5	11	1973
6	13	1937
7	14	1761
8	16	1803
9	18	1818
10	20	1848
11	22	1884
12	24	1884
13	27	1904
14	28	1896
15	30	1901
16	32	1891
17	34	1908
18	37	1915
19	39	1918
20	41	1928
21	43	1938
22	45	1939
23	47	1936
24	49	1936
25	51	1942
26	54	1961
27	56	1966
28	58	1966
29	60	1969
30	62	1964
31	65	1975
32	67	1987
33	70	2011
34	72	2011
35	75	2015
36	77	2009
37	79	2004
38	80	1995
39	83	1993
40	85	1998
41	87	1996
42	89	1996
43	91	1997
44	94	2000
45	96	1995
46	98	1989
47	100	1989
48	102	1989
49	104	1985
50	106	1981
51	108	1977
52	110	1975
53	112	1966
54	114	1963
55	116	1956
56	118	1957
57	120	1958
58	122	1957
59	124	1957
60	127	1962
61	129	1957
62	131	1957
63	134	1965
64	137	1971
65	139	1976
66	142	1989
67	144	1984
68	146	1981
69	149	1984
70	151	1981
71	153	1982
72	155	1979
73	157	1976
74	160	1974
75	162	1973
76	164	1969
77	166	1966
78	168	1965
79	169	1947
80	171	1950
81	173	1946
82	175	1941
83	177	1940
84	180	1942
85	182	1937
86	184	1932
87	186	1928
88	188	1926
89	190	1921
90	192	1919
91	194	1916
92	196	1916
93	197	1901
94	199	1902
95	201	1899
96	203	1894
97	205	1892
98	207	1890
99	209	1887
100	212	1887
101	214	1891
102	216	1889
103	218	1886
104	221	1887
105	223	1883
106	225	1884
107	228	1885
108	230	1881
109	232	1880
110	234	1877
111	236	1877
112	238	1873
113	240	1872
114	243	1875
115	245	1872
116	247	1870
117	249	1868
118	251	1865
119	254	1865
120	256	1865
121	259	1866
122	261	1863
123	263	1860
124	265	1857
125	267	1854
126	269	1851
127	271	1848
128	273	1844
129	276	1847
130	278	1847
131	280	1843
132	282	1838
133	284	1836
134	286	1835
135	288	1833
136	291	1834
137	293	1831
138	295	1827
139	296	1823
140	298	1820
141	300	1818
142	303	1816
143	305	1814
144	307	1812
145	309	1812
146	311	1809
147	314	1808
148	314	1799
149	317	1796
150	319	1794
151	321	1792
152	323	1790
153	325	1788
154	327	1786
155	330	1787
156	332	1786
157	335	1786
158	337	1786
159	340	1787
160	342	1786
161	344	1784
162	346	1781
163	348	1777
164	350	1774
165	353	1776
166	355	1772
167	357	1768
168	358	1764
169	361	1763
170	363	1760
171	365	1760
172	367	1757
173	369	1755
174	371	1753
175	373	1750
176	375	1747
177	377	1744
178	379	1740
179	381	1738
180	383	1735
181	385	1733
182	387	1730
183	389	1728
184	391	1726
185	393	1724
186	396	1723
187	398	1721
188	400	1719
189	402	1717
190	405	1716
191	407	1713
192	408	1710
193	411	1708
194	413	1706
195	415	1704
196	417	1701
197	419	1699
198	421	1696
199	423	1695
200	425	1692
201	428	1690
202	430	1689
203	432	1688
204	434	1685
205	436	1683
206	438	1681
207	440	1678
208	443	1678
209	445	1676
210	447	1674
211	449	1671
212	451	1669
213	454	1667
214	456	1666
215	458	1663
216	460	1660
217	462	1657
218	464	1656
219	466	1654
220	468	1652
221	470	1650
222	472	1647
223	474	1645
224	477	1643
225	479	1640
226	481	1638
227	483	1636
228	485	1634
229	487	1632
230	490	1634
231	493	1633
232	495	1630
233	497	1628
234	499	1625
235	501	1624
236	503	1621
237	506	1621
238	508	1619
239	510	1617
240	512	1614
241	514	1612
242	516	1608
243	518	1605
244	520	1602
