iter	Passed	Remaining
0	14	15306
1	28	14702
2	45	15811
3	60	15647
4	75	15552
5	89	15487
6	107	15937
7	125	16142
8	142	16296
9	156	16169
10	173	16253
11	191	16375
12	208	16439
13	223	16345
14	240	16426
15	257	16455
16	277	16675
17	293	16654
18	314	16900
19	330	16860
20	348	16887
21	363	16843
22	383	16949
23	402	17036
24	420	17082
25	438	17097
26	455	17105
27	471	17050
28	488	17043
29	508	17126
30	524	17072
31	540	17036
32	556	16983
33	573	16958
34	587	16876
35	604	16848
36	619	16797
37	637	16803
38	653	16769
39	668	16705
40	683	16647
41	698	16601
42	716	16614
43	732	16591
44	747	16532
45	764	16518
46	780	16491
47	797	16471
48	812	16439
49	828	16406
50	846	16414
51	863	16397
52	878	16357
53	893	16320
54	912	16338
55	927	16299
56	942	16250
57	957	16205
58	978	16267
59	995	16267
60	1011	16229
61	1026	16199
62	1046	16222
63	1062	16208
64	1077	16164
65	1095	16161
66	1111	16146
67	1127	16119
68	1145	16121
69	1165	16143
70	1181	16130
71	1198	16111
72	1213	16075
73	1229	16048
74	1244	16013
75	1261	16002
76	1278	15984
77	1294	15966
78	1309	15934
79	1325	15910
80	1342	15890
81	1358	15875
82	1374	15853
83	1391	15833
84	1405	15796
85	1421	15767
86	1438	15753
87	1453	15722
88	1468	15692
89	1483	15660
90	1501	15663
91	1520	15671
92	1537	15659
93	1561	15715
94	1582	15737
95	1598	15715
96	1613	15689
97	1631	15686
98	1648	15669
99	1664	15644
100	1678	15607
101	1696	15602
102	1712	15575
103	1727	15551
104	1744	15530
105	1765	15557
106	1781	15537
107	1799	15527
108	1815	15506
109	1844	15598
110	1861	15579
111	1878	15568
112	1909	15668
113	1927	15656
114	1943	15629
115	1960	15618
116	1976	15593
117	1992	15565
118	2006	15528
119	2022	15504
120	2037	15471
121	2053	15449
122	2068	15421
123	2085	15407
124	2102	15393
125	2118	15369
126	2133	15340
127	2150	15321
128	2166	15296
129	2182	15280
130	2198	15251
131	2213	15228
132	2230	15209
133	2245	15184
134	2261	15159
135	2277	15135
136	2295	15126
137	2311	15105
138	2325	15073
139	2340	15043
140	2357	15033
141	2373	15010
142	2389	14986
143	2404	14962
144	2422	14952
145	2438	14929
146	2453	14904
147	2467	14872
148	2484	14856
149	2500	14836
150	2515	14810
151	2530	14785
152	2547	14769
153	2565	14758
154	2580	14733
155	2594	14703
156	2612	14695
157	2628	14673
158	2644	14654
159	2659	14625
160	2679	14630
161	2696	14615
162	2712	14595
163	2728	14572
164	2745	14559
165	2761	14538
166	2776	14514
167	2791	14488
168	2807	14470
169	2825	14457
170	2842	14447
171	2856	14417
172	2875	14412
173	2891	14390
174	2907	14369
175	2921	14341
176	2938	14325
177	2952	14299
178	2968	14279
179	2983	14256
180	3000	14242
181	3018	14229
182	3034	14212
183	3049	14186
184	3067	14175
185	3084	14160
186	3100	14142
187	3113	14111
188	3129	14090
189	3150	14094
190	3165	14072
191	3184	14065
192	3201	14048
193	3216	14026
194	3231	14005
195	3245	13975
196	3259	13949
197	3276	13933
198	3291	13910
199	3306	13887
200	3321	13863
201	3337	13844
202	3352	13823
203	3368	13803
204	3384	13784
205	3400	13768
206	3415	13745
207	3432	13730
208	3447	13706
209	3461	13682
210	3478	13667
211	3494	13647
212	3510	13629
213	3525	13608
214	3541	13590
215	3556	13565
216	3570	13541
217	3586	13522
218	3603	13509
219	3618	13488
220	3635	13474
221	3650	13451
222	3666	13431
223	3684	13422
224	3700	13404
225	3714	13379
226	3732	13368
227	3747	13346
228	3763	13326
229	3777	13301
230	3794	13287
231	3809	13267
232	3826	13251
233	3840	13227
234	3855	13206
235	3871	13189
236	3886	13167
237	3901	13146
238	3916	13124
239	3932	13107
240	3949	13094
241	3966	13080
242	3985	13070
243	4000	13051
244	4018	13038
245	4032	13015
246	4050	13004
247	4078	13023
248	4095	13010
249	4110	12989
250	4127	12972
251	4142	12953
252	4158	12936
253	4172	12912
254	4189	12896
255	4205	12879
256	4220	12858
257	4234	12833
258	4248	12811
259	4265	12795
260	4281	12777
261	4295	12755
262	4310	12734
263	4326	12717
264	4341	12696
265	4356	12676
266	4371	12655
267	4387	12637
268	4403	12621
269	4418	12600
270	4433	12579
271	4449	12562
272	4470	12559
273	4490	12552
274	4505	12532
275	4522	12517
276	4537	12498
277	4552	12479
278	4567	12457
279	4583	12440
280	4599	12423
281	4615	12407
282	4630	12386
283	4646	12368
284	4661	12349
285	4678	12335
286	4693	12313
287	4707	12293
288	4724	12275
289	4739	12257
290	4754	12237
291	4770	12219
292	4786	12203
293	4801	12182
294	4816	12164
295	4831	12142
296	4847	12125
297	4863	12108
298	4880	12095
299	4894	12074
300	4909	12054
301	4925	12036
302	4941	12020
303	4956	12001
304	4974	11987
305	4990	11970
306	5014	11971
307	5028	11951
308	5045	11935
309	5061	11918
310	5079	11906
311	5094	11887
312	5111	11872
313	5129	11859
314	5144	11840
315	5160	11823
316	5178	11810
317	5193	11792
318	5209	11773
319	5223	11753
320	5239	11735
321	5256	11720
322	5273	11705
323	5288	11686
324	5305	11671
325	5322	11656
326	5339	11641
327	5353	11620
328	5368	11600
329	5384	11584
330	5401	11570
331	5416	11551
332	5431	11531
333	5448	11517
334	5466	11503
335	5483	11488
336	5498	11470
337	5515	11454
338	5532	11439
339	5546	11419
340	5562	11401
341	5580	11389
342	5597	11374
343	5611	11353
344	5625	11333
345	5641	11315
346	5657	11299
347	5672	11280
348	5687	11260
349	5703	11243
350	5720	11228
351	5736	11212
352	5753	11197
353	5770	11182
354	5786	11166
355	5801	11147
356	5818	11130
357	5833	11113
358	5849	11096
359	5866	11081
360	5881	11063
361	5897	11045
362	5912	11026
363	5928	11010
364	5945	10994
365	5959	10975
366	5977	10960
367	5994	10946
368	6010	10929
369	6024	10909
370	6044	10899
371	6061	10884
372	6076	10865
373	6091	10846
374	6107	10829
375	6124	10815
376	6140	10798
377	6156	10781
378	6174	10768
379	6191	10753
380	6208	10738
381	6225	10724
382	6243	10710
383	6259	10693
384	6280	10685
385	6306	10685
386	6322	10668
387	6338	10650
388	6355	10635
389	6371	10618
390	6389	10604
391	6404	10586
392	6422	10573
393	6440	10559
394	6456	10542
395	6471	10524
396	6489	10510
397	6504	10492
398	6520	10474
399	6533	10454
400	6548	10435
401	6567	10422
402	6583	10405
403	6598	10387
404	6613	10369
405	6630	10354
406	6646	10336
407	6661	10319
408	6678	10303
409	6694	10286
410	6710	10269
411	6725	10251
412	6741	10234
413	6758	10218
414	6775	10203
415	6791	10187
416	6806	10168
417	6823	10153
418	6840	10138
419	6855	10120
420	6869	10100
421	6885	10083
422	6900	10065
423	6916	10048
424	6930	10029
425	6945	10010
426	6962	9994
427	6979	9979
428	6995	9963
429	7013	9948
430	7032	9936
431	7055	9929
432	7072	9914
433	7089	9898
434	7105	9882
435	7122	9866
436	7137	9848
437	7152	9830
438	7168	9813
439	7182	9794
440	7197	9776
