iter	Passed	Remaining
0	2	2197
1	3	1972
2	6	2086
3	8	2099
4	10	2126
5	12	2088
6	14	2058
7	16	2029
8	18	2016
9	20	2018
10	22	2032
11	24	2055
12	26	2045
13	29	2063
14	31	2070
15	33	2057
16	35	2042
17	38	2080
18	39	2058
19	41	2049
20	44	2051
21	45	2044
22	48	2050
23	50	2045
24	52	2046
25	54	2049
26	57	2056
27	59	2060
28	61	2075
29	64	2073
30	66	2075
31	68	2086
32	71	2093
33	73	2091
34	76	2097
35	78	2094
36	80	2093
37	82	2094
38	85	2104
39	87	2100
40	90	2105
41	91	2097
42	93	2090
43	96	2086
44	98	2081
45	100	2086
46	103	2089
47	105	2085
48	107	2076
49	109	2083
50	111	2084
51	114	2082
52	117	2092
53	119	2088
54	121	2080
55	123	2075
56	125	2069
57	127	2069
58	129	2072
59	132	2081
60	135	2083
61	138	2090
62	140	2097
63	143	2094
64	145	2088
65	147	2090
66	149	2086
67	151	2081
68	154	2079
69	156	2080
70	158	2077
71	160	2072
72	163	2072
73	165	2069
74	167	2065
75	169	2062
76	171	2059
77	174	2057
78	176	2057
79	178	2057
80	181	2055
81	183	2050
82	185	2047
83	187	2042
84	189	2041
85	191	2037
86	194	2037
87	196	2035
88	198	2032
89	200	2029
90	203	2027
91	204	2022
92	206	2017
93	209	2017
94	211	2014
95	213	2008
96	214	1996
97	216	1993
98	218	1987
99	220	1984
100	223	1985
101	225	1985
102	227	1985
103	230	1984
104	232	1982
105	234	1979
106	236	1976
107	238	1971
108	240	1966
109	242	1963
110	245	1963
111	247	1961
112	250	1963
113	254	1981
114	259	1993
115	261	1993
116	264	1994
117	266	1994
118	269	1993
119	271	1991
120	274	1994
121	276	1991
122	278	1986
123	280	1982
124	282	1976
125	284	1972
126	286	1970
127	289	1969
128	291	1969
129	293	1967
130	296	1969
131	299	1970
132	302	1971
133	305	1973
134	308	1975
135	310	1973
136	313	1973
137	315	1971
138	317	1969
139	320	1969
140	322	1966
141	325	1965
142	327	1961
143	329	1958
144	332	1957
145	334	1956
146	336	1955
147	339	1954
148	341	1951
149	343	1949
150	346	1945
151	348	1944
152	351	1944
153	353	1944
154	356	1942
155	358	1939
156	360	1935
157	362	1933
158	365	1934
159	368	1936
160	370	1932
161	373	1932
162	375	1928
163	377	1924
164	379	1921
165	382	1919
166	384	1917
167	386	1915
168	389	1917
169	391	1912
170	393	1909
171	396	1907
172	398	1904
173	400	1901
174	402	1897
175	404	1893
176	406	1891
177	408	1887
178	411	1885
179	414	1889
180	417	1888
181	419	1886
182	422	1885
183	424	1883
184	426	1879
185	428	1875
186	430	1871
187	432	1867
188	434	1863
189	436	1860
190	438	1856
191	440	1852
192	442	1850
193	444	1847
194	446	1844
195	449	1841
196	451	1839
197	453	1836
198	455	1833
199	457	1831
200	459	1828
201	462	1825
202	463	1821
203	466	1819
204	468	1816
205	470	1812
206	472	1808
207	474	1804
208	476	1802
209	478	1800
210	480	1797
211	482	1793
212	484	1791
213	486	1788
214	489	1785
215	491	1782
216	493	1778
217	495	1776
218	497	1775
219	499	1771
220	501	1769
221	503	1765
222	505	1762
223	508	1760
224	510	1757
225	512	1753
226	513	1750
227	515	1746
228	517	1742
229	520	1741
230	522	1738
231	524	1736
232	526	1732
233	528	1729
234	530	1726
235	532	1722
236	534	1719
237	536	1717
238	539	1718
239	542	1717
240	544	1715
241	546	1712
242	548	1710
243	551	1707
244	553	1705
245	555	1703
246	558	1701
247	560	1699
248	562	1696
249	564	1694
250	566	1691
251	568	1687
252	570	1685
253	572	1682
254	574	1678
255	577	1677
256	579	1674
257	581	1671
258	583	1668
259	585	1665
260	587	1662
261	589	1660
262	591	1658
263	593	1654
264	595	1651
265	597	1648
266	599	1646
267	602	1644
268	604	1641
269	605	1637
270	607	1634
271	609	1632
272	611	1629
273	614	1627
274	616	1624
275	618	1623
276	620	1620
277	622	1617
278	625	1615
279	627	1612
280	629	1609
281	631	1607
282	633	1605
283	636	1605
284	641	1609
285	645	1610
286	648	1611
287	651	1611
288	655	1612
289	658	1612
290	662	1613
291	666	1615
292	669	1616
293	672	1615
294	676	1615
295	679	1616
296	681	1613
297	684	1611
298	686	1610
299	689	1608
300	691	1606
301	694	1605
302	696	1602
303	698	1599
304	700	1597
305	703	1594
306	705	1592
307	707	1589
308	709	1586
