iter	Accuracy	MultiClass
0	0.4976599064	1.093947042
1	0.51950078	1.089433886
2	0.5226209048	1.085234029
3	0.5694227769	1.079829174
4	0.5756630265	1.075002776
5	0.5787831513	1.069987692
6	0.5897035881	1.065960545
7	0.5897035881	1.061372354
8	0.6146645866	1.057029893
9	0.6115444618	1.053035977
10	0.6099843994	1.048706396
11	0.6255850234	1.044404124
12	0.6209048362	1.040808808
13	0.639625585	1.037608064
14	0.6224648986	1.03458212
15	0.624024961	1.031305003
16	0.6255850234	1.027472204
17	0.6224648986	1.023907404
18	0.6255850234	1.02081898
19	0.624024961	1.017803616
20	0.639625585	1.014600745
21	0.6333853354	1.011496383
22	0.6365054602	1.008957917
23	0.639625585	1.006108837
24	0.6427457098	1.003561033
25	0.639625585	1.001544798
26	0.647425897	0.9981556641
27	0.6427457098	0.9955201143
28	0.639625585	0.9931450558
29	0.647425897	0.990694692
30	0.6458658346	0.9879567408
31	0.6427457098	0.9848919624
32	0.6427457098	0.982944924
33	0.6505460218	0.9808558688
34	0.6489859594	0.9782946486
35	0.655226209	0.9753562056
36	0.6599063963	0.9727966553
37	0.6489859594	0.9706848116
38	0.6521060842	0.9680424541
39	0.6521060842	0.9661042593
40	0.6536661466	0.9638517707
41	0.6567862715	0.9614992267
42	0.6567862715	0.9597763516
43	0.6630265211	0.9575615779
44	0.6505460218	0.955490448
45	0.6536661466	0.9540226345
46	0.6489859594	0.952480661
47	0.6458658346	0.9506417062
48	0.6458658346	0.9488938085
49	0.6521060842	0.9470863991
50	0.655226209	0.9449706102
51	0.655226209	0.9423094889
52	0.6630265211	0.9398177992
53	0.6583463339	0.9384295689
54	0.6583463339	0.9363659869
55	0.655226209	0.9350073048
56	0.6661466459	0.9326506981
57	0.6645865835	0.9308118613
58	0.6645865835	0.9288125178
59	0.6630265211	0.9270623031
60	0.6677067083	0.9251935612
61	0.6661466459	0.9233599439
62	0.6661466459	0.9220704348
63	0.6708268331	0.9205463642
64	0.6739469579	0.9189681082
65	0.6723868955	0.9174018002
66	0.6739469579	0.9157656241
67	0.6692667707	0.9143713394
68	0.6739469579	0.9131682527
69	0.6786271451	0.9115616652
70	0.6739469579	0.9099915499
71	0.6801872075	0.9078787405
72	0.6817472699	0.906213648
73	0.6786271451	0.9050578818
74	0.6770670827	0.9031942635
75	0.6817472699	0.9012339621
76	0.6801872075	0.8998020179
77	0.6817472699	0.8982502897
78	0.6833073323	0.8967340084
79	0.6833073323	0.8953005483
80	0.6817472699	0.8941049381
81	0.6801872075	0.8921721616
82	0.6770670827	0.8909806456
83	0.6786271451	0.8898813107
84	0.6770670827	0.888881994
85	0.6739469579	0.8884781481
86	0.6739469579	0.8875018731
87	0.6786271451	0.8865218779
88	0.6817472699	0.8849965678
89	0.6817472699	0.8835463841
90	0.6786271451	0.8825187453
91	0.6864274571	0.8807714848
92	0.6879875195	0.8799534186
93	0.6911076443	0.8782858898
94	0.6895475819	0.8769548508
95	0.6895475819	0.8758695395
96	0.6911076443	0.8752173158
97	0.6895475819	0.8738168277
98	0.6879875195	0.8726964552
99	0.6879875195	0.8714410499
100	0.6895475819	0.8696558622
101	0.6911076443	0.8684708331
102	0.6895475819	0.8672961807
103	0.6879875195	0.8666667982
104	0.6848673947	0.8653608282
105	0.6848673947	0.8641069402
106	0.6879875195	0.8629352602
107	0.6895475819	0.8618262513
108	0.6879875195	0.8609864955
109	0.6911076443	0.8594888287
110	0.6879875195	0.858485956
111	0.6895475819	0.8577912468
112	0.6942277691	0.856503027
113	0.6926677067	0.8561628386
114	0.6926677067	0.8552946941
115	0.6926677067	0.8540061564
116	0.6942277691	0.8530749865
117	0.6957878315	0.8519812194
