iter	Accuracy	MultiClass
0	0.4835680751	1.094081631
1	0.5054773083	1.089665664
2	0.5336463224	1.085259456
3	0.5571205008	1.080341415
4	0.579029734	1.076055197
5	0.5962441315	1.071416269
6	0.5978090767	1.067345184
7	0.5899843505	1.064182327
8	0.5868544601	1.060639442
9	0.5884194053	1.056831402
10	0.5978090767	1.053043221
11	0.5993740219	1.049538887
12	0.5962441315	1.045832312
13	0.5993740219	1.042456741
14	0.6103286385	1.039312327
15	0.5993740219	1.037011775
16	0.6056338028	1.034429139
17	0.613458529	1.030864424
18	0.6118935837	1.02806945
19	0.6118935837	1.025401189
20	0.627543036	1.02186126
21	0.6291079812	1.018921
22	0.6400625978	1.015852313
23	0.6447574335	1.012910194
24	0.6478873239	1.010709852
25	0.6525821596	1.008203836
26	0.6400625978	1.005465717
27	0.6400625978	1.003129088
28	0.6353677621	1.00045824
29	0.6369327074	0.9981586291
30	0.6353677621	0.9960771321
31	0.6400625978	0.9937671459
32	0.6431924883	0.9911316767
33	0.6572769953	0.9886226393
34	0.6510172144	0.9862848444
35	0.6478873239	0.9842207378
36	0.6510172144	0.9823752316
37	0.6525821596	0.9808943138
38	0.6463223787	0.9789983396
39	0.6510172144	0.9770278128
40	0.6510172144	0.9752357193
41	0.6604068858	0.9738173014
42	0.6604068858	0.9716844432
43	0.6635367762	0.9700410475
44	0.6588419405	0.9675850327
45	0.6604068858	0.9653774198
46	0.6635367762	0.9635335827
47	0.6604068858	0.9619235806
48	0.6572769953	0.9600354775
49	0.661971831	0.9581055201
50	0.6588419405	0.9562807574
51	0.6666666667	0.9543541555
52	0.6666666667	0.9530897081
53	0.6697965571	0.9514450938
54	0.6682316119	0.9492316117
55	0.6729264476	0.9477635565
56	0.6713615023	0.9462825775
57	0.6744913928	0.9443109311
58	0.6697965571	0.9429791852
59	0.676056338	0.9409536071
60	0.6807511737	0.9393186698
61	0.6791862285	0.9373402532
62	0.6870109546	0.9356204813
63	0.6823161189	0.9336180095
64	0.6870109546	0.9318443206
65	0.6901408451	0.9307062608
66	0.6901408451	0.9290318159
67	0.6854460094	0.9280319316
68	0.6870109546	0.926235534
69	0.6932707355	0.9249952774
70	0.6932707355	0.9232174274
71	0.6932707355	0.9209969135
72	0.6901408451	0.9201401841
73	0.6917057903	0.9188836456
74	0.6901408451	0.9178442379
75	0.6870109546	0.9162466039
76	0.6870109546	0.9147418507
77	0.6854460094	0.9136271741
78	0.6885758998	0.9126603113
79	0.6917057903	0.9112445138
80	0.6885758998	0.909621327
81	0.6901408451	0.908172224
82	0.6901408451	0.906931316
83	0.6917057903	0.9055964493
84	0.6885758998	0.9049232419
85	0.6932707355	0.9038219502
86	0.6885758998	0.9029069052
87	0.6885758998	0.9008378221
88	0.6917057903	0.8992539043
89	0.6995305164	0.8980310402
90	0.6979655712	0.8965014719
91	0.6979655712	0.8952185621
92	0.7026604069	0.8942819742
93	0.696400626	0.8924383049
94	0.7010954617	0.8912825079
95	0.7073552426	0.8898625541
96	0.7089201878	0.8885448642
97	0.7057902973	0.886886561
98	0.7073552426	0.8863629326
99	0.7089201878	0.8848075703
100	0.710485133	0.8832634733
101	0.7120500782	0.8821155337
102	0.710485133	0.8806422735
103	0.7120500782	0.8791400798
104	0.7136150235	0.8781232398
105	0.7151799687	0.8759333764
106	0.710485133	0.8742318374
107	0.7136150235	0.8728342778
108	0.710485133	0.8720318844
109	0.7183098592	0.8704934934
110	0.7167449139	0.8689001543
111	0.7167449139	0.867974612
112	0.7136150235	0.8667783957
113	0.7120500782	0.8664458289
114	0.7151799687	0.8654587424
115	0.7120500782	0.8647901032
116	0.7136150235	0.863806495
117	0.7167449139	0.8622916788
118	0.7167449139	0.8612414122
119	0.7198748044	0.8602248084
120	0.7151799687	0.8591260634
121	0.7198748044	0.8575742963
122	0.7230046948	0.856389405
123	0.7292644757	0.8553187359
124	0.7323943662	0.8539599581
125	0.730829421	0.8531785981
126	0.7323943662	0.8522375033
127	0.7276995305	0.8513024087
128	0.7323943662	0.8502848123
129	0.7292644757	0.8497168797
130	0.7292644757	0.849298537
131	0.730829421	0.8479824908
132	0.7292644757	0.8471857738
133	0.730829421	0.8462426864
134	0.7323943662	0.8451002296
135	0.7339593114	0.8435846694
136	0.7323943662	0.8426397123
137	0.730829421	0.8419593338
138	0.7323943662	0.8413174714
139	0.730829421	0.8407933026
140	0.730829421	0.8403461376
141	0.730829421	0.8394217357
142	0.730829421	0.8382855157
143	0.7323943662	0.8370329887
144	0.7323943662	0.8358300038
145	0.7323943662	0.8343474955
146	0.7339593114	0.8333875009
147	0.730829421	0.8331755607
148	0.7402190923	0.8316402014
149	0.7417840376	0.8305800402
150	0.7402190923	0.829457153
151	0.7417840376	0.8283270512
152	0.7433489828	0.8276037136
153	0.7402190923	0.826923821
154	0.7386541471	0.8262132984
155	0.7417840376	0.8248688719
156	0.7417840376	0.8238660522
157	0.7433489828	0.8228646112
158	0.7433489828	0.8213057789
159	0.7480438185	0.8203931959
160	0.7464788732	0.8196141397
161	0.7511737089	0.8188611164
162	0.7464788732	0.8176173225
163	0.7511737089	0.8163822256
164	0.7511737089	0.8149514104
165	0.7511737089	0.8142459615
166	0.7543035994	0.812597086
167	0.7558685446	0.8116549024
168	0.7558685446	0.8108788473
169	0.7511737089	0.8096392848
170	0.7511737089	0.808026519
171	0.7527386541	0.8070932571
172	0.7527386541	0.8063449625
173	0.7574334898	0.8042820891
174	0.7558685446	0.8031128967
175	0.7621283255	0.8019595299
176	0.7589984351	0.8009525553
177	0.7605633803	0.8002813704
178	0.7605633803	0.7994192574
179	0.7605633803	0.7980171003
180	0.7605633803	0.7975854809
181	0.7589984351	0.7962841203
182	0.7589984351	0.7948054286
183	0.7621283255	0.7935917641
184	0.7605633803	0.7925933313
185	0.7636932707	0.7909148322
186	0.7605633803	0.79038174
187	0.7621283255	0.7899379698
188	0.7621283255	0.7892058382
189	0.7605633803	0.7885251892
190	0.7589984351	0.7876035289
191	0.7636932707	0.7869807963
192	0.7605633803	0.7860491743
193	0.7636932707	0.7850450814
194	0.7621283255	0.7837272927
195	0.7668231612	0.7823994575
196	0.7699530516	0.7814207174
197	0.7668231612	0.7806329679
198	0.7715179969	0.779451835
199	0.7730829421	0.7781715836
200	0.7746478873	0.7767166366
201	0.7746478873	0.7755122773
202	0.7715179969	0.7749292864
203	0.7746478873	0.7740036965
204	0.7762128326	0.7735713941
205	0.7777777778	0.7728009654
206	0.7824726135	0.7714289514
207	0.7777777778	0.7708091634
208	0.7809076682	0.7702805562
209	0.7856025039	0.7691103816
210	0.7871674491	0.7680260687
211	0.7871674491	0.7673246786
212	0.7871674491	0.7663551656
213	0.7871674491	0.7658472821
214	0.7856025039	0.7649881311
215	0.7887323944	0.764019671
216	0.7871674491	0.7632377132
217	0.7856025039	0.7621238085
218	0.7902973396	0.7608574767
219	0.7918622848	0.7602027035
220	0.7918622848	0.7589671496
221	0.79342723	0.758195979
222	0.79342723	0.7576263652
223	0.7965571205	0.7563190626
224	0.7981220657	0.7552552662
225	0.7981220657	0.7542551372
226	0.7981220657	0.7529368379
227	0.7949921753	0.7515641514
228	0.7949921753	0.7510526034
229	0.799687011	0.749873811
230	0.799687011	0.7492114233
231	0.8028169014	0.7481795878
232	0.8028169014	0.7468373773
233	0.8012519562	0.7455418898
234	0.8012519562	0.744706616
235	0.8028169014	0.7437306998
236	0.8043818466	0.7427882098
237	0.8043818466	0.7411950624
238	0.8059467919	0.7398480749
239	0.8090766823	0.7388298704
240	0.8075117371	0.7380452424
241	0.8075117371	0.7371071606
242	0.8090766823	0.7357067415
243	0.8059467919	0.7343351554
244	0.8075117371	0.7328616226
245	0.8106416275	0.7316538134
246	0.8059467919	0.7308364772
247	0.8075117371	0.7301930526
248	0.8106416275	0.7295842816
249	0.8122065728	0.728394575
250	0.8106416275	0.7281133672
251	0.8106416275	0.7275939247
252	0.8090766823	0.7269074948
253	0.813771518	0.7259752649
254	0.8122065728	0.7254820458
255	0.8184663537	0.7238023652
256	0.8200312989	0.7233002566
257	0.8231611894	0.7218052311
258	0.8247261346	0.7210745285
259	0.8231611894	0.7204396832
260	0.8231611894	0.7195840954
261	0.8247261346	0.7189372549
262	0.8231611894	0.7180404014
263	0.8294209703	0.7168729332
264	0.8325508607	0.7158216015
265	0.827856025	0.714440034
266	0.8309859155	0.7136472973
267	0.8325508607	0.712778798
268	0.8325508607	0.7114338569
269	0.8341158059	0.7102814451
270	0.8341158059	0.709042113
271	0.8325508607	0.7084199813
272	0.8356807512	0.7072668015
273	0.8356807512	0.7059696163
274	0.8341158059	0.70526953
275	0.8341158059	0.70450302
276	0.8356807512	0.7029612052
277	0.8356807512	0.70225525
278	0.8341158059	0.7012225526
279	0.8341158059	0.7001342684
280	0.8341158059	0.6994180275
281	0.8372456964	0.6978934076
282	0.8372456964	0.6962688454
283	0.8403755869	0.6952457061
284	0.8403755869	0.694277255
285	0.8419405321	0.6934299912
286	0.8435054773	0.6925883345
287	0.8403755869	0.691120248
288	0.8403755869	0.6900391131
289	0.8419405321	0.6893466849
290	0.8435054773	0.68838119
291	0.8435054773	0.6868902864
292	0.8450704225	0.6858671862
293	0.8450704225	0.6852686668
294	0.8497652582	0.6847062282
295	0.8497652582	0.6837749332
296	0.8497652582	0.682881465
297	0.8497652582	0.6820356746
298	0.8513302034	0.6809983919
299	0.848200313	0.6803666523
300	0.8513302034	0.6798183059
301	0.8528951487	0.6786118493
302	0.8528951487	0.6780843458
303	0.8544600939	0.6773868629
304	0.8544600939	0.6765256515
305	0.8528951487	0.6754302832
306	0.8544600939	0.6742975069
307	0.8560250391	0.673662269
308	0.8575899844	0.6730183338
309	0.8591549296	0.6716482044
310	0.86228482	0.670038684
