iter	F1	Logloss
0	0.9815668203	0.359923817
1	0.9908675799	0.2032415817
2	0.9977324263	0.1099458862
3	0.9977324263	0.07396815878
4	0.9977324263	0.05114377342
5	0.9977324263	0.03603451027
6	0.9977324263	0.02903838704
7	0.9977324263	0.02108705357
8	0.9977324263	0.01607634127
9	0.9977324263	0.01345181895
10	1	0.01035788679
11	1	0.009130555032
12	1	0.00797349977
13	1	0.007012962822
14	1	0.006080195774
15	1	0.005633902794
16	1	0.004646589823
17	1	0.004271256573
18	1	0.004236762767
19	1	0.004089543003
20	1	0.00394937197
21	1	0.003920878294
22	1	0.003723812942
23	1	0.003723787048
24	1	0.003433709916
25	1	0.003407849894
26	1	0.003389806991
27	1	0.003130038172
28	1	0.00289868536
29	1	0.002895234878
30	1	0.002723315525
31	1	0.002625197817
32	1	0.002625188165
33	1	0.002474781401
34	1	0.00235718587
35	1	0.002326293927
36	1	0.002301952811
37	1	0.002194041635
38	1	0.002194004501
39	1	0.002193936267
40	1	0.002106414622
41	1	0.002102370777
42	1	0.002007309131
43	1	0.001934426484
44	1	0.001829950761
45	1	0.001829945913
46	1	0.001829927813
47	1	0.001806067661
48	1	0.001746024455
49	1	0.001742722015
50	1	0.001742717108
51	1	0.001706473468
52	1	0.001706428209
53	1	0.001703598817
54	1	0.001703593873
55	1	0.001693361217
56	1	0.001693351329
57	1	0.00169302363
58	1	0.001693019358
59	1	0.001682462841
60	1	0.001682455735
61	1	0.001648270428
62	1	0.001635680224
63	1	0.001635671681
64	1	0.001635646535
65	1	0.001635621399
66	1	0.00160363259
67	1	0.001592154406
68	1	0.001562137121
69	1	0.001534350977
70	1	0.001498305719
71	1	0.001494765707
72	1	0.001494724926
73	1	0.001484813384
74	1	0.001460053638
75	1	0.0014600493
76	1	0.001459979135
77	1	0.001459977193
78	1	0.001459975253
79	1	0.001436692386
80	1	0.001436677556
81	1	0.001436675432
82	1	0.001414737625
83	1	0.001414734907
84	1	0.001414726278
85	1	0.001394016148
86	1	0.001393941889
87	1	0.001393923929
88	1	0.001393905994
89	1	0.001387424509
90	1	0.001367732835
91	1	0.001329341925
92	1	0.001329297842
93	1	0.001312392119
94	1	0.001312359189
95	1	0.001312359189
96	1	0.001308668201
97	1	0.001308624159
98	1	0.001308606996
99	1	0.001303814768
100	1	0.001303812429
101	1	0.001297677537
102	1	0.001297667858
103	1	0.001293342469
104	1	0.001293303215
105	1	0.001277144659
106	1	0.001261752925
107	1	0.001229551622
108	1	0.001226134696
109	1	0.001226134234
110	1	0.001226132798
111	1	0.001226078807
112	1	0.001226069596
113	1	0.001223713588
114	1	0.001223713588
115	1	0.001223696505
116	1	0.001221297996
117	1	0.001221289649
118	1	0.001217579636
119	1	0.001202091712
120	1	0.001202083247
121	1	0.001202079768
122	1	0.001202079768
123	1	0.001202071669
124	1	0.001202066804
125	1	0.001201932327
126	1	0.001201929957
127	1	0.001201927665
128	1	0.00119941878
129	1	0.001199368688
130	1	0.001199273932
131	1	0.001199271842
132	1	0.001199269964
133	1	0.001199252294
134	1	0.001199249911
135	1	0.001173429365
136	1	0.001173425416
137	1	0.001173423071
138	1	0.00117342044
139	1	0.001173345738
140	1	0.001173341511
141	1	0.001173341511
142	1	0.001173340928
143	1	0.001170961098
144	1	0.00117095845
145	1	0.001164391692
146	1	0.001164389602
147	1	0.001164387737
148	1	0.001164369134
149	1	0.001164360147
150	1	0.001164353616
151	1	0.001164118944
152	1	0.001164117083
153	1	0.001164115223
154	1	0.00116406485
155	1	0.001164024253
156	1	0.001164022388
157	1	0.001163973858
158	1	0.001163963842
159	1	0.001163945933
160	1	0.001163911419
161	1	0.0011638717
162	1	0.001163863623
163	1	0.001140046105
164	1	0.001118121293
165	1	0.001118108237
166	1	0.001118107841
167	1	0.001118101215
168	1	0.001118098589
169	1	0.001118081847
170	1	0.001118064209
171	1	0.001118037814
172	1	0.00111798778
173	1	0.001117978617
174	1	0.001117927346
175	1	0.001117919045
176	1	0.001117090401
177	1	0.001117036783
178	1	0.001117032264
179	1	0.001117027747
180	1	0.00109676132
181	1	0.001096759875
182	1	0.001094182047
183	1	0.001094177878
184	1	0.001094161587
185	1	0.001094145297
186	1	0.001094129009
187	1	0.001094120558
188	1	0.001094104271
189	1	0.001094095825
190	1	0.00109403263
191	1	0.001093999116
192	1	0.001093981093
193	1	0.001093978738
194	1	0.001093942607
195	1	0.001093926324
196	1	0.001093919583
197	1	0.001093903301
198	1	0.00109387937
199	1	0.001093872645
200	1	0.001093830131
201	1	0.001093823398
202	1	0.001093819251
203	1	0.001093815105
204	1	0.001093810822
205	1	0.001093808682
206	1	0.00109380024
207	1	0.00109378396
208	1	0.001093767681
209	1	0.001093751403
210	1	0.001093747206
211	1	0.00109374301
212	1	0.001093738871
213	1	0.00108652895
214	1	0.001086527092
215	1	0.001086525235
216	1	0.001086517324
217	1	0.001084889708
218	1	0.001084497374
219	1	0.00108448941
220	1	0.00108448941
221	1	0.001084405871
222	1	0.001084358195
223	1	0.001082011339
224	1	0.001081997265
225	1	0.001081670706
226	1	0.001081668533
227	1	0.001074837176
228	1	0.001074805434
229	1	0.00107480091
230	1	0.00107478497
231	1	0.001074783487
232	1	0.001074782747
233	1	0.001074782008
234	1	0.001074711317
235	1	0.001074706915
236	1	0.001074679454
237	1	0.001074647724
238	1	0.001074615998
239	1	0.001074604246
240	1	0.001074572525
241	1	0.001074556568
242	1	0.001074540091
243	1	0.001074526221
244	1	0.001074524748
245	1	0.001074516663
246	1	0.001074512549
247	1	0.001074509117
248	1	0.001074438745
249	1	0.00107443463
250	1	0.001074433895
251	1	0.001074429781
252	1	0.001074427602
253	1	0.001073187275
254	1	0.001073152384
255	1	0.001073148243
256	1	0.001073140312
257	1	0.001073132382
258	1	0.001073124451
259	1	0.001073120311
260	1	0.001073084907
261	1	0.001073044317
262	1	0.001073020748
263	1	0.00104521203
264	1	0.001045204682
265	1	0.001019272326
266	1	0.001019269016
267	1	0.001019236051
268	1	0.001019232505
269	1	0.001019204196
270	1	0.001019202488
271	1	0.001019167839
272	1	0.0009947044118
273	1	0.0009945824265
274	1	0.0009945563455
275	1	0.0009714405893
276	1	0.0009714372196
277	1	0.0009495497889
278	1	0.0009287922192
279	1	0.0009287903024
280	1	0.0009287699793
281	1	0.0009287666564
282	1	0.000928738114
283	1	0.000909024649
284	1	0.0009090200822
285	1	0.000909001119
286	1	0.0008900626095
287	1	0.0008900404357
288	1	0.0008721910049
289	1	0.0008721653251
290	1	0.0008721465833
291	1	0.0008721442857
292	1	0.0008721437393
293	1	0.00087214348
294	1	0.0008551228372
295	1	0.0008519417799
296	1	0.0008519276738
297	1	0.000851918516
298	1	0.0008356026025
299	1	0.0008355939323
300	1	0.0008355328565
301	1	0.000819943345
302	1	0.0008199399091
303	1	0.0008050259726
304	1	0.0008050239829
305	1	0.000805003448
306	1	0.0008050017757
307	1	0.0008049691534
308	1	0.0008049655
309	1	0.0008049495654
310	1	0.0008049475113
311	1	0.0008049314266
312	1	0.0007907894006
313	1	0.000790766524
314	1	0.0007772026632
315	1	0.0007771264898
316	1	0.0007641059922
317	1	0.0007641046579
318	1	0.0007515921384
319	1	0.0007515810859
320	1	0.0007394257103
321	1	0.0007394151159
322	1	0.0007393630792
323	1	0.0007393061469
324	1	0.000727613499
325	1	0.0007275997424
326	1	0.0007275897871
327	1	0.0007275857191
328	1	0.0007275830743
329	1	0.0007163236771
330	1	0.000716313788
331	1	0.000716311472
332	1	0.0007163069323
333	1	0.000716305675
334	1	0.0007055583475
335	1	0.0007055479599
336	1	0.0007055345268
337	1	0.0006950630768
338	1	0.0006949998865
339	1	0.0006849899432
340	1	0.0006849738114
341	1	0.0006849646247
342	1	0.0006849646247
343	1	0.0006752919988
344	1	0.0006659382844
345	1	0.0006659363219
346	1	0.0006659193542
347	1	0.0006657361975
348	1	0.0006657325891
349	1	0.0006657310504
350	1	0.0006565958356
351	1	0.0006565796523
352	1	0.0006565710283
353	1	0.000656560226
354	1	0.0006565533552
355	1	0.0006565381168
356	1	0.0006565347377
357	1	0.0006565129157
358	1	0.0006477579888
359	1	0.0006477357679
360	1	0.0006477356653
361	1	0.0006477356653
362	1	0.0006477142527
363	1	0.0006477011427
364	1	0.0006391386805
365	1	0.0006391379677
366	1	0.0006391282857
367	1	0.0006391274794
368	1	0.0006309089152
369	1	0.0006309076944
370	1	0.0006228593972
371	1	0.0006228436085
372	1	0.0006151096148
373	1	0.000607599798
374	1	0.000607588651
375	1	0.0006075830857
376	1	0.0006002179374
377	1	0.0006002022532
378	1	0.0005930463219
379	1	0.0005930450419
380	1	0.0005930365351
381	1	0.0005879848735
382	1	0.0005879774188
383	1	0.0005879724241
384	1	0.0005879696319
385	1	0.0005812155872
386	1	0.0005812089435
387	1	0.0005811467018
388	1	0.0005770212719
389	1	0.0005770107853
390	1	0.0005704887082
391	1	0.0005704838012
392	1	0.000570464603
393	1	0.0005704645569
394	1	0.0005665538605
395	1	0.0005620193934
396	1	0.0005620065011
397	1	0.0005619529094
398	1	0.0005567142174
399	1	0.0005566972659
400	1	0.0005566944127
401	1	0.0005566855984
402	1	0.0005566833355
403	1	0.0005566449111
404	1	0.0005566407811
405	1	0.0005566215721
406	1	0.0005566023647
407	1	0.0005565961848
408	1	0.0005565900157
409	1	0.0005565879604
410	1	0.0005544220235
411	1	0.0005544182606
412	1	0.0005544181309
413	1	0.0005544175569
414	1	0.0005544005213
415	1	0.000554396456
416	1	0.0005543916049
417	1	0.0005543895732
418	1	0.0005543875426
419	1	0.0005543834872
420	1	0.00055007583
421	1	0.0005500646806
422	1	0.0005500636909
423	1	0.0005464425151
424	1	0.0005464414172
425	1	0.0005464317275
426	1	0.0005415726049
427	1	0.0005415678422
428	1	0.0005415677245
429	1	0.0005415636574
430	1	0.0005415635371
431	1	0.0005368056223
432	1	0.0005367746299
433	1	0.0005312706225
434	1	0.0005312695823
435	1	0.0005312660093
436	1	0.0005312578627
437	1	0.0005312559879
438	1	0.0005258839579
439	1	0.0005258789578
440	1	0.000522846709
441	1	0.0005190940113
442	1	0.0005190289939
443	1	0.0005190281397
444	1	0.0005190258646
445	1	0.0005190213178
446	1	0.0005190179764
447	1	0.0005166443674
448	1	0.0005166122161
449	1	0.0005166081977
450	1	0.0005165613
451	1	0.0005165592025
452	1	0.0005165558335
453	1	0.0005165480195
454	1	0.0005122507965
455	1	0.0005122501126
456	1	0.0005122467787
457	1	0.0005122435653
458	1	0.0005122403551
459	1	0.0005122371483
460	1	0.0005122367331
461	1	0.0005122363327
462	1	0.000512218597
463	1	0.0005122020503
464	1	0.0005119846761
465	1	0.00051198134
466	1	0.0005119772152
467	1	0.0005119740068
468	1	0.0005119522703
469	1	0.0005119490653
470	1	0.000509101745
471	1	0.000506893436
472	1	0.0005068708939
473	1	0.0005068644558
474	1	0.0005068639289
475	1	0.0005068628425
476	1	0.0005067388188
477	1	0.0005067379619
478	1	0.0005067260838
479	1	0.0005066408072
480	1	0.0005057151021
481	1	0.0005056760152
482	1	0.0005056739249
483	1	0.0005056708331
484	1	0.0005056708331
485	1	0.00050563314
486	1	0.0005021621055
487	1	0.0005021528549
488	1	0.0004999558856
489	1	0.0004999533169
490	1	0.0004999410201
491	1	0.0004999350413
492	1	0.0004999298412
493	1	0.0004999261365
494	1	0.0004998878166
495	1	0.0004998670217
496	1	0.0004998588664
497	1	0.0004997549548
498	1	0.0004997531168
499	1	0.0004997467489
500	1	0.0004997379234
501	1	0.0004997302918
502	1	0.0004997273123
503	1	0.0004997251869
504	1	0.0004996213598
505	1	0.0004995625717
506	1	0.000499558335
507	1	0.0004994753587
508	1	0.0004994744066
509	1	0.0004994706827
510	1	0.0004994697308
511	1	0.0004994654977
512	1	0.0004994625186
513	1	0.0004994585627
514	1	0.0004994170833
515	1	0.0004994071162
516	1	0.0004993449332
517	1	0.000499282777
518	1	0.0004992818264
519	1	0.0004992781047
520	1	0.000499215976
521	1	0.0004991952692
522	1	0.0004991222488
523	1	0.0004991015516
524	1	0.0004991007087
525	1	0.0004990969897
526	1	0.0004990962462
527	1	0.000499095503
528	1	0.0004990541236
529	1	0.0004990533806
530	1	0.0004990482084
531	1	0.0004990336096
532	1	0.0004990328666
533	1	0.0004990298282
534	1	0.000499022534
535	1	0.0004989811723
536	1	0.0004989803861
537	1	0.0004989796223
538	1	0.0004989788804
539	1	0.000498978117
540	1	0.0004989367674
541	1	0.0004988954298
542	1	0.0004988946884
543	1	0.0004988533627
544	1	0.0004988120488
545	1	0.0004988113077
546	1	0.0004988094198
547	1	0.000498806389
548	1	0.0004988004702
549	1	0.0004987943879
550	1	0.0004987936507
551	1	0.0004987729959
552	1	0.0004985667736
553	1	0.0004985567424
554	1	0.0004985155087
555	1	0.0004984864555
556	1	0.0004984857186
557	1	0.000498478204
558	1	0.0004984594439
559	1	0.0004984304489
560	1	0.0004983892426
561	1	0.0004983686411
562	1	0.0004983679047
563	1	0.0004983671286
564	1	0.00049834653
565	1	0.0004983259344
566	1	0.0004983251985
567	1	0.0004983046059
568	1	0.0004983038701
569	1	0.0004983029657
570	1	0.000498302187
571	1	0.0004983014515
572	1	0.0004982939749
573	1	0.0004982932397
574	1	0.0004982800359
575	1	0.0004982798529
576	1	0.000498273869
577	1	0.0004982680351
578	1	0.0004982535686
579	1	0.0004981712594
580	1	0.0004981622863
581	1	0.0004981535443
582	1	0.0004981090143
583	1	0.0004981071579
584	1	0.0004981020154
585	1	0.0004980983044
586	1	0.0004980924895
587	1	0.000498089587
588	1	0.0004980827805
589	1	0.0004980769832
590	1	0.0004980652241
591	1	0.0004980505179
592	1	0.0004980465695
593	1	0.0004980402097
594	1	0.0004980330326
595	1	0.0004979851408
596	1	0.0004979808976
597	1	0.0004979771306
598	1	0.0004979697598
599	1	0.0004979659931
600	1	0.0004978945112
601	1	0.0004978873468
602	1	0.0004978722859
603	1	0.000497863491
604	1	0.0004978547036
605	1	0.000497850939
606	1	0.0004978421661
607	1	0.0004978411905
608	1	0.0004978299283
609	1	0.0004978270779
610	1	0.0004977976303
611	1	0.0004977938665
612	1	0.0004977924409
613	1	0.0004977895932
614	1	0.0004977744463
615	1	0.0004977730224
616	1	0.0004977715993
617	1	0.0004977628764
618	1	0.0004977626991
619	1	0.0004977625218
620	1	0.0004977623445
621	1	0.00049774729
622	1	0.0004977471127
623	1	0.0004977469295
624	1	0.0004977467522
625	1	0.0004976547336
626	1	0.0004975945704
627	1	0.0004975917297
628	1	0.0004975915523
629	1	0.0004975914314
630	1	0.0004975876714
631	1	0.0004974674362
632	1	0.0004974599983
633	1	0.0004974543285
634	1	0.000497334192
635	1	0.000497305067
636	1	0.0004971550337
637	1	0.0004971259547
638	1	0.0004971250544
639	1	0.0004971096912
640	1	0.0004971095787
641	1	0.0004970196561
642	1	0.0004970159621
643	1	0.0004969260955
644	1	0.0004969117161
645	1	0.0004968219107
646	1	0.0004968180834
647	1	0.0004968166629
648	1	0.0004968152431
649	1	0.0004968080699
650	1	0.0004967482307
651	1	0.0004966884155
652	1	0.0004966286243
653	1	0.0004965992945
654	1	0.0004965978754
