iter	Accuracy	MultiClass
277	0.96625	0.4455971691
278	0.96625	0.4447863887
279	0.965	0.4432181206
280	0.965	0.4416523096
281	0.9675	0.4405498467
282	0.96625	0.439523351
283	0.9675	0.4385745669
284	0.9675	0.4374457987
285	0.9675	0.43628229
286	0.96875	0.4344655383
287	0.96875	0.4332052128
288	0.97	0.4319922256
289	0.97	0.4306141886
290	0.96875	0.4301633976
291	0.97125	0.4284178165
292	0.97125	0.4275326763
293	0.97125	0.425795609
294	0.97125	0.4251143863
295	0.9725	0.4240160464
296	0.9725	0.4227632361
297	0.9725	0.421280356
298	0.975	0.4201568627
299	0.97625	0.4189132628
300	0.97625	0.4172427728
301	0.9775	0.4163602574
302	0.9775	0.4157266989
303	0.97875	0.4139381548
304	0.98	0.4127579568
305	0.97875	0.4120532253
306	0.97875	0.4111373273
307	0.97875	0.4100195063
308	0.97875	0.4087866805
309	0.98	0.4077512776
310	0.98125	0.4061612266
311	0.98	0.4050233363
312	0.98	0.4040515288
313	0.98	0.4033253509
314	0.98125	0.4021044616
315	0.98125	0.4013354423
316	0.98125	0.4005240486
317	0.98125	0.3997482416
318	0.98125	0.398677672
319	0.9825	0.39768357
320	0.9825	0.3963585428
321	0.98375	0.395586683
322	0.98375	0.3946457286
323	0.98375	0.3940702443
324	0.98375	0.3930555609
325	0.985	0.3918386315
326	0.98375	0.3913432216
327	0.985	0.3898381966
328	0.98625	0.3893237664
329	0.985	0.3883203536
330	0.985	0.3874745365
331	0.98625	0.386682651
332	0.985	0.3856910437
333	0.985	0.3852605309
334	0.985	0.3844705829
335	0.985	0.383744901
336	0.985	0.3829120119
337	0.985	0.3814551464
338	0.985	0.3804726175
339	0.98625	0.378947589
340	0.98625	0.3772367769
341	0.98625	0.3769732404
342	0.98625	0.375736977
343	0.98625	0.3748349045
344	0.98625	0.3739766289
345	0.98875	0.3723723999
346	0.98875	0.3712885861
347	0.9875	0.3701257225
348	0.9875	0.3691893491
349	0.9875	0.368473479
350	0.9875	0.3675947558
351	0.9875	0.3667565927
352	0.9875	0.3659465161
353	0.9875	0.3650280684
354	0.9875	0.36433865
355	0.9875	0.3635420463
356	0.9875	0.362851148
357	0.98875	0.362056669
358	0.98875	0.3613050019
359	0.98875	0.3604204792
360	0.99	0.3591850873
361	0.99	0.3585542774
362	0.99	0.3575526785
363	0.99	0.3566818645
364	0.9925	0.3559519048
365	0.99375	0.3551455129
366	0.9925	0.3541301824
367	0.99375	0.3534710992
368	0.9925	0.3525846482
369	0.9925	0.3519497416
370	0.9925	0.3512388097
371	0.9925	0.3503802343
372	0.9925	0.3496310364
373	0.99375	0.3485015453
374	0.99375	0.3474824228
375	0.99375	0.3466763222
376	0.99375	0.3458499239
377	0.99375	0.3450532841
378	0.99375	0.3440362528
379	0.99375	0.3433727269
380	0.995	0.3424247282
381	0.99375	0.3413011949
382	0.99375	0.3404830284
383	0.99375	0.3397739863
384	0.995	0.3389057863
385	0.995	0.3379893172
386	0.995	0.337188757
387	0.995	0.3365172551
388	0.995	0.3358132968
389	0.995	0.3349761362
390	0.995	0.3343613332
391	0.995	0.3331957898
392	0.995	0.3318808
393	0.995	0.3312935745
394	0.99375	0.3300806301
395	0.99375	0.3294903567
396	0.99375	0.3291496923
397	0.995	0.3285764427
398	0.995	0.3279033291
399	0.99625	0.3268746875
400	0.99625	0.3261157739
401	0.99625	0.3254549137
402	0.995	0.3246031145
403	0.995	0.3242524638
404	0.995	0.3237470389
405	0.99625	0.3225223968
406	0.99625	0.3217069166
407	0.99625	0.3204235396
408	0.99625	0.3201916146
409	0.99625	0.3193959685
410	0.99625	0.3182846263
411	0.99625	0.317752074
412	0.99625	0.3170281205
413	0.99625	0.3164463173
414	0.99625	0.3156800126
415	0.99625	0.3148677576
416	0.99625	0.3141498228
417	0.99625	0.3133980943
418	0.99625	0.3125699054
419	0.99625	0.3119381864
420	0.99625	0.3114104825
421	0.99625	0.3112174803
422	0.99625	0.310533779
423	0.99625	0.3100012133
424	0.99625	0.3095344683
425	0.99625	0.3089201677
426	0.99625	0.3082638079
427	0.99625	0.3077688293
428	0.99625	0.3068737903
429	0.99625	0.3058570547
430	0.99625	0.3049447108
431	0.99625	0.304083203
432	0.9975	0.3030908393
433	0.9975	0.3025937733
434	0.9975	0.302084549
435	0.9975	0.3017888747
436	0.9975	0.301344983
437	0.9975	0.3006576772
438	0.9975	0.2999810952
