iter	Accuracy	MultiClass
0	0.46875	1.0938723
1	0.509375	1.08936245
2	0.515625	1.08512507
3	0.5453125	1.080189778
4	0.546875	1.076201267
5	0.5703125	1.072054122
6	0.5671875	1.067286524
7	0.5640625	1.064184433
8	0.584375	1.060175235
9	0.5921875	1.055819098
10	0.5984375	1.051987232
11	0.590625	1.048409876
12	0.6078125	1.043881168
13	0.628125	1.040141256
14	0.628125	1.03725401
15	0.621875	1.033962167
16	0.628125	1.031163258
17	0.6390625	1.027573606
18	0.6234375	1.025080743
19	0.6421875	1.021587739
20	0.6359375	1.018709052
21	0.6390625	1.015354191
22	0.6515625	1.012471597
23	0.6453125	1.010494464
24	0.646875	1.008070992
25	0.64375	1.005357767
26	0.6515625	1.002595172
27	0.6453125	1.000247653
28	0.6390625	0.9979308828
29	0.6453125	0.9960852395
30	0.6375	0.9935549365
31	0.64375	0.9914157222
32	0.65	0.9890452199
33	0.659375	0.9866224772
34	0.6609375	0.9854021844
35	0.6640625	0.9831696619
36	0.6609375	0.9805211974
37	0.65625	0.9783962325
38	0.659375	0.9760727046
39	0.6609375	0.9742007128
40	0.665625	0.9722312605
41	0.6671875	0.9698886994
42	0.659375	0.9679311614
43	0.659375	0.9664132824
44	0.66875	0.9638986212
45	0.6765625	0.9613121277
46	0.671875	0.9590909088
47	0.675	0.9578159793
48	0.6765625	0.9552605892
49	0.68125	0.9528985769
50	0.678125	0.9512490183
51	0.68125	0.9491627031
52	0.6890625	0.9464055142
53	0.6875	0.9448035732
54	0.6953125	0.9417668903
55	0.7015625	0.9400445551
56	0.70625	0.9377702793
57	0.70625	0.9355870674
58	0.703125	0.933402758
59	0.7078125	0.9315037306
60	0.709375	0.9295125927
61	0.7140625	0.9273932975
62	0.7078125	0.9253948315
63	0.709375	0.9237943135
64	0.7078125	0.9223330997
65	0.7078125	0.9213848618
66	0.70625	0.9203884325
67	0.7140625	0.9186728678
68	0.7140625	0.9172901453
69	0.71875	0.9159308815
70	0.721875	0.9132619126
71	0.721875	0.9114262097
72	0.721875	0.910125506
73	0.721875	0.9084732309
74	0.7171875	0.9070353158
75	0.7203125	0.9059396682
76	0.7203125	0.9047715365
77	0.71875	0.9037519584
78	0.715625	0.9021988846
