iter	Passed	Remaining
0	2	2153
1	4	2195
2	6	2131
3	8	2147
4	10	2118
5	12	2145
6	15	2139
7	15	1924
8	18	1985
9	20	1985
10	22	2006
11	24	2023
12	26	2021
13	29	2053
14	31	2073
15	33	2060
16	35	2060
17	37	2060
18	40	2066
19	42	2066
20	44	2063
21	46	2087
22	49	2101
23	51	2090
24	53	2088
25	55	2081
26	57	2068
27	59	2074
28	61	2064
29	63	2053
30	65	2052
31	67	2054
32	70	2056
33	71	2045
34	72	2001
35	74	2003
36	77	2014
37	79	2011
38	81	2008
39	83	2010
40	85	2001
41	87	2002
42	89	1997
43	92	2004
44	94	2005
45	97	2012
46	98	2006
47	101	2006
48	103	2005
49	105	2000
50	108	2018
51	110	2018
52	112	2018
53	115	2017
54	117	2014
55	119	2012
56	121	2010
57	124	2017
58	126	2020
59	128	2013
60	130	2010
61	132	2008
62	134	2000
63	136	1996
64	138	1991
65	140	1992
66	142	1989
67	145	1988
68	146	1981
69	148	1979
70	151	1980
71	153	1974
72	155	1972
73	157	1972
74	159	1970
75	161	1966
76	163	1963
77	165	1962
78	168	1961
79	170	1962
80	172	1960
81	175	1961
82	177	1960
83	179	1957
84	182	1960
85	184	1958
86	187	1966
87	189	1964
88	191	1962
89	193	1959
90	195	1957
91	198	1954
92	200	1954
93	202	1954
94	204	1951
95	206	1947
96	208	1942
97	210	1939
98	212	1937
99	214	1934
100	216	1930
101	218	1925
102	220	1921
103	222	1920
104	224	1916
105	227	1916
106	229	1913
107	231	1909
108	233	1911
109	236	1910
110	238	1910
111	240	1906
112	242	1905
113	244	1903
114	247	1903
115	249	1904
116	252	1902
117	254	1899
118	256	1897
119	258	1896
120	260	1892
121	262	1887
122	264	1885
123	266	1885
124	269	1884
125	271	1880
126	273	1877
127	275	1875
128	277	1874
129	279	1872
130	282	1871
131	284	1869
132	286	1865
133	287	1860
134	290	1858
135	292	1857
136	294	1856
137	296	1853
138	298	1849
139	300	1845
140	302	1843
141	304	1839
142	306	1838
143	308	1835
144	310	1833
145	313	1832
146	315	1831
147	317	1829
148	319	1825
149	321	1824
150	324	1823
151	326	1822
152	328	1819
153	330	1816
154	332	1814
155	335	1813
156	337	1810
157	339	1807
158	341	1805
159	343	1805
160	346	1803
161	348	1801
162	350	1799
163	352	1798
164	355	1797
165	357	1795
166	360	1796
167	362	1794
168	364	1794
169	367	1791
170	369	1790
171	371	1786
172	372	1782
173	375	1782
174	377	1780
175	380	1779
176	382	1777
177	384	1776
178	386	1772
179	388	1769
180	390	1768
181	392	1765
182	395	1764
183	397	1762
184	399	1760
185	401	1756
186	403	1753
187	405	1751
188	408	1752
189	410	1750
190	412	1746
191	414	1743
192	416	1740
193	418	1739
194	420	1735
195	422	1733
196	424	1729
197	426	1726
198	427	1721
199	430	1720
200	431	1717
201	433	1713
202	436	1711
203	438	1709
204	440	1709
205	442	1707
206	445	1705
207	447	1702
208	449	1700
209	451	1697
210	453	1696
211	455	1693
212	457	1689
213	459	1687
214	461	1684
215	463	1682
216	465	1680
217	468	1679
218	470	1677
219	472	1676
220	474	1672
221	476	1668
222	478	1666
223	480	1663
224	482	1660
225	484	1657
226	486	1655
227	488	1652
228	490	1650
229	492	1647
230	494	1645
231	496	1642
232	498	1640
233	500	1638
234	502	1636
235	504	1633
236	507	1632
237	509	1629
238	510	1626
239	513	1625
240	515	1623
241	517	1621
242	519	1619
243	521	1617
244	523	1614
245	525	1611
246	527	1608
247	529	1606
248	531	1604
249	534	1602
250	535	1599
251	537	1596
252	539	1593
253	541	1590
254	543	1587
255	545	1586
256	549	1587
257	552	1588
258	554	1587
259	556	1585
260	558	1582
261	561	1581
262	564	1581
263	566	1578
264	568	1576
265	570	1573
266	572	1571
267	574	1569
268	576	1566
269	579	1565
270	581	1564
271	584	1563
272	586	1560
273	587	1557
274	589	1555
275	592	1553
276	594	1551
277	596	1548
278	598	1547
279	600	1544
280	602	1542
281	604	1539
282	606	1536
283	608	1534
284	611	1534
285	613	1531
286	615	1530
287	618	1527
288	620	1525
289	622	1523
290	624	1521
291	627	1520
292	629	1519
293	631	1515
