iter	Passed	Remaining
0	28	29722
1	41	21319
2	59	20635
3	73	19016
4	91	18945
5	105	18179
6	125	18467
7	141	18189
8	158	18173
9	174	17954
10	195	18268
11	212	18198
12	229	18093
13	248	18184
14	270	18501
15	289	18507
16	304	18352
17	326	18519
18	344	18533
19	362	18499
20	382	18554
21	400	18519
22	417	18464
23	433	18335
24	447	18178
25	465	18152
26	481	18052
27	496	17952
28	513	17907
29	529	17842
30	546	17799
31	561	17697
32	578	17638
33	596	17643
34	612	17598
35	628	17523
36	646	17517
37	662	17459
38	678	17409
39	693	17337
40	710	17317
41	728	17314
42	744	17270
43	761	17226
44	780	17248
45	796	17203
46	812	17165
47	829	17134
48	848	17165
49	865	17139
50	882	17121
51	902	17154
52	921	17156
53	937	17121
54	953	17068
55	968	17022
56	987	17027
57	1004	17003
58	1021	16979
59	1040	16988
60	1056	16960
61	1074	16955
62	1090	16910
63	1113	16978
64	1131	16965
65	1146	16925
66	1163	16896
67	1181	16888
68	1197	16844
69	1215	16837
70	1233	16829
71	1254	16866
72	1270	16831
73	1285	16777
74	1301	16744
75	1318	16730
76	1335	16701
77	1350	16651
78	1365	16611
79	1386	16632
80	1401	16597
81	1416	16551
82	1432	16516
83	1450	16504
84	1466	16474
85	1480	16428
86	1498	16409
87	1516	16409
88	1534	16394
89	1549	16360
90	1567	16343
91	1582	16308
92	1599	16285
93	1614	16246
94	1631	16227
95	1649	16217
96	1665	16189
97	1680	16155
98	1698	16143
99	1714	16114
100	1731	16098
101	1747	16068
102	1763	16042
103	1779	16012
104	1796	15997
105	1813	15978
106	1829	15951
107	1846	15932
108	1862	15906
109	1877	15871
110	1894	15856
111	1912	15850
112	1928	15821
113	1944	15790
114	1959	15759
115	1977	15749
116	1992	15718
117	2007	15683
118	2023	15657
119	2040	15643
120	2056	15615
121	2071	15589
122	2087	15565
123	2106	15559
124	2127	15571
125	2141	15533
126	2157	15509
127	2176	15509
128	2201	15548
129	2224	15570
130	2240	15550
131	2257	15528
132	2274	15510
133	2289	15482
134	2307	15471
135	2323	15446
136	2340	15428
137	2357	15407
138	2373	15385
139	2389	15362
140	2404	15328
141	2419	15300
142	2435	15277
143	2452	15261
144	2466	15227
145	2480	15190
146	2497	15172
147	2513	15148
148	2528	15120
149	2543	15091
150	2562	15086
151	2578	15066
152	2595	15048
153	2611	15022
154	2628	15010
155	2646	14997
156	2663	14979
157	2681	14967
158	2699	14960
159	2716	14943
160	2740	14961
161	2761	14967
162	2780	14961
163	2806	14988
164	2835	15034
165	2859	15053
166	2875	15032
167	2892	15015
168	2908	14990
169	2925	14970
170	2940	14941
171	2957	14925
172	2973	14899
173	2988	14874
174	3003	14844
175	3018	14817
176	3036	14804
177	3053	14787
178	3069	14762
179	3086	14745
180	3103	14727
181	3120	14710
182	3136	14690
183	3155	14677
184	3171	14656
185	3188	14638
186	3205	14620
187	3224	14613
188	3241	14595
189	3260	14587
190	3277	14570
191	3295	14553
192	3311	14534
193	3327	14508
194	3342	14486
195	3360	14470
196	3377	14453
197	3392	14426
198	3409	14407
199	3425	14387
200	3441	14365
201	3458	14347
202	3475	14331
203	3492	14311
204	3508	14292
205	3523	14264
206	3540	14246
207	3557	14228
208	3574	14211
209	3589	14188
210	3606	14171
211	3623	14152
212	3640	14134
213	3655	14109
214	3671	14089
215	3690	14080
216	3706	14058
217	3721	14031
218	3737	14010
219	3753	13989
220	3769	13969
221	3786	13951
222	3803	13936
223	3819	13915
224	3837	13898
225	3851	13872
226	3868	13854
227	3885	13837
228	3901	13815
229	3916	13793
230	3933	13776
231	3951	13762
232	3968	13744
233	3982	13718
234	3998	13696
235	4016	13681
236	4032	13664
237	4049	13646
238	4066	13629
239	4083	13612
240	4102	13600
241	4118	13581
242	4134	13561
243	4151	13544
244	4168	13527
245	4183	13503
246	4202	13490
247	4225	13493
248	4242	13477
249	4257	13455
250	4276	13443
251	4294	13428
252	4311	13411
253	4326	13388
254	4342	13367
255	4358	13348
256	4375	13329
257	4391	13309
258	4410	13298
259	4429	13288
260	4451	13286
261	4468	13269
262	4486	13254
263	4501	13232
264	4516	13208
265	4533	13191
266	4552	13180
267	4569	13162
268	4586	13144
269	4602	13126
270	4620	13111
271	4640	13103
272	4658	13088
273	4675	13071
274	4692	13052
275	4707	13032
276	4723	13012
277	4741	12995
278	4758	12978
279	4773	12955
280	4789	12936
281	4805	12915
282	4821	12898
283	4836	12875
284	4853	12858
285	4871	12843
286	4887	12824
287	4903	12803
288	4919	12783
289	4936	12766
290	4954	12751
291	4971	12735
292	4988	12717
293	5002	12693
294	5019	12676
295	5034	12655
296	5051	12638
297	5072	12629
298	5091	12617
299	5106	12595
300	5124	12580
301	5141	12564
302	5157	12545
303	5173	12525
304	5190	12507
305	5207	12490
306	5223	12472
307	5240	12454
308	5256	12436
309	5272	12416
310	5290	12400
311	5306	12381
312	5322	12363
313	5338	12344
314	5354	12324
315	5369	12303
316	5388	12290
317	5406	12275
318	5422	12256
319	5437	12234
320	5454	12216
321	5471	12200
322	5488	12184
323	5504	12163
324	5522	12149
325	5540	12134
326	5555	12114
327	5571	12093
328	5591	12084
329	5611	12072
330	5626	12052
331	5641	12031
332	5657	12011
333	5673	11992
334	5690	11975
335	5706	11956
336	5725	11942
337	5742	11926
338	5756	11904
339	5772	11884
340	5787	11863
341	5804	11847
342	5821	11829
343	5835	11806
344	5851	11788
345	5868	11770
346	5883	11750
347	5898	11730
348	5915	11711
349	5932	11694
350	5949	11677
351	5964	11657
352	5980	11638
353	5996	11619
354	6013	11603
355	6028	11583
356	6044	11563
357	6059	11543
358	6076	11525
359	6091	11505
360	6109	11491
361	6126	11474
362	6142	11456
363	6158	11436
364	6174	11418
365	6189	11397
366	6207	11382
367	6222	11362
368	6238	11344
369	6254	11326
370	6271	11309
371	6287	11290
372	6303	11272
373	6319	11254
374	6337	11237
375	6352	11217
376	6367	11198
377	6383	11180
378	6401	11163
379	6417	11146
380	6435	11131
381	6451	11113
382	6472	11102
383	6489	11085
384	6507	11070
385	6526	11057
386	6543	11040
387	6558	11020
388	6575	11004
389	6593	10988
390	6612	10975
391	6627	10955
392	6653	10952
393	6672	10940
394	6687	10919
395	6704	10903
396	6721	10886
397	6737	10868
398	6753	10849
399	6771	10833
400	6790	10820
401	6806	10802
402	6823	10785
403	6841	10770
404	6859	10754
405	6875	10735
406	6890	10716
407	6905	10697
408	6921	10677
409	6937	10659
410	6951	10639
411	6967	10620
412	6983	10601
413	7000	10585
414	7016	10566
415	7031	10547
416	7048	10529
417	7065	10513
418	7081	10494
419	7097	10476
420	7112	10457
421	7130	10442
422	7144	10421
423	7161	10403
424	7175	10382
425	7192	10367
426	7208	10348
427	7225	10331
428	7242	10314
429	7259	10298
430	7274	10278
431	7291	10261
432	7306	10242
433	7323	10226
434	7339	10207
435	7355	10189
436	7370	10169
437	7387	10153
438	7402	10134
439	7419	10117
440	7435	10098
441	7451	10081
442	7468	10064
443	7482	10044
444	7498	10026
445	7514	10007
446	7533	9993
447	7548	9975
448	7565	9958
449	7582	9941
450	7598	9923
451	7613	9904
452	7628	9885
453	7643	9866
454	7661	9850
455	7676	9831
456	7692	9813
457	7707	9794
458	7725	9778
459	7740	9759
460	7765	9753
461	7782	9736
462	7798	9718
463	7813	9699
464	7833	9685
465	7852	9671
466	7867	9653
467	7884	9636
468	7900	9618
469	7920	9605
470	7940	9592
471	7958	9577
472	7976	9561
473	7993	9545
474	8009	9527
475	8026	9510
476	8045	9496
477	8062	9479
